Arlington Blvd & S George Mason Dr/NFATC,333,15
Army Navy Dr & S Nash St,364,11
Aurora Hills Community Ctr/18th & Hayes St,5,11
Ballenger Ave & Dulaney St,339,19
Ballston Metro / N Stuart & 9th St N,176,23
Barcroft Community Center,157,11
Barton St & 10th St N,202,11
Battery Ln & Trolley Trail,288,15
Benning Branch Library,70,11
Benning Rd & East Capitol St NE / Benning Rd Metro,150,19
Bethesda Ave & Arlington Rd,259,19
Bethesda Metro,328,12
Bladensburg Rd & Benning Rd NE,97,15
Blueridge Ave & Elkins St,507,15
Braddock Rd Metro,196,29
Branch & Pennsylvania Ave SE,100,11
Broschart & Blackwell Rd,291,15
C & O Canal & Wisconsin Ave NW,87,23
California St & Florida Ave NW,149,19
Calvert & Biltmore St NW,20,23
Calvert St & Woodley Pl NW,301,19
Carlin Springs Rd & N Thomas St,456,15
Carroll & Ethan Allen Ave,287,15
Carroll & Westmoreland Ave,286,15
Central Library / N Quincy St & 10th St N,166,11
Citadel Ave & McGrath Blvd,513,15
Clarendon Blvd & N Fillmore St,139,15
Clarendon Blvd & Pierce St,129,15
Clarendon Metro / Wilson Blvd & N Highland St,140,17
Columbia & Ontario Rd NW,474,23
Columbia Pike & S Courthouse Rd,211,15
Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,256,15
Columbia Pike & S Orme St,246,11
Columbia Pike & S Taylor St,477,15
Columbia Pike & S Walter Reed Dr,255,12
Columbia Rd & Belmont St NW,135,19
Columbia Rd & Georgia Ave NW,148,19
Columbus Ave & Gramercy Blvd,479,11
Columbus Ave & Tribeca St,478,11
Columbus Circle / Union Station,113,55
Commerce St & Fayette St,194,15
Commonwealth & E Monroe Ave,407,15
Commonwealth Ave & Oak St,406,19
Congress Heights Metro,155,15
Congressional Ln & E Jefferson St,518,15
Connecticut & Nebraska Ave NW,228,23
Connecticut Ave & Chevy Chase Lake Dr,377,15
Connecticut Ave & Newark St NW / Cleveland Park,35,11
Connecticut Ave & R St NW,485,19
Connecticut Ave & Tilden St NW,314,15
Connecticut Ave & Yuma St NW,401,19
Constitution Ave & 2nd St NW/DOL,251,27
Convention Center / 7th & M St NW,84,23
Cordell & Norfolk Ave,265,11
Corporate Blvd & Omega Dr,491,15
Court House Metro / 15th & N Uhle St ,344,21
Crabbs Branch Way & Calhoun Pl,281,15
Crabbs Branch Way & Redland Rd,276,15
Crystal City Metro / 18th & Bell St,8,19
D St & Maryland Ave NE,89,23
Deanwood Rec Center,304,15
Dennis & Amherst Ave,283,15
Division Ave & Foote St NE,422,15
Duke St & John Carlyle St,331,15
E Montgomery Ave & Maryland Ave,264,15
Eads & 22nd St S,48,15
Eads St & 15th St S,1,15
East Falls Church Metro/Sycamore St & 19th St N,404,19
East West Hwy & 16th St,395,19
East West Hwy & Blair Mill Rd,280,15
Eastern Market / 7th & North Carolina Ave SE,68,15
Eastern Market Metro / Pennsylvania Ave & 7th St SE,78,19
Eckington Pl & Q St NE,94,23
Eisenhower Ave & Mill Race Ln,337,15
Executive Blvd & E Jefferson St,516,15
Fairfax Dr & Kenmore St,182,11
Fairfax Dr & Wilson Blvd,160,11
Fairfax Village,132,15
Fallsgrove Blvd & Fallsgrove Dr,261,19
Fallsgrove Dr & W Montgomery Ave,277,15
Fenton St & Ellsworth Dr ,297,15
Fenton St & Gist Ave,285,11
Fenton St & New York Ave ,258,15
Fessenden St & Wisconsin Ave NW,209,15
Fishers Ln & Rock Creek Mill Rd,517,15
Fleet St & Ritchie Pkwy,293,15
Florida Ave & R St NW,61,15
Fort Totten Metro,320,19
Franklin & S Washington St,411,19
Frederick Ave & Horners Ln,266,11
Friendship Blvd & Willard Ave,309,19
Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,271,19
Gallaudet / 8th St & Florida Ave NE,183,19
Garland Ave & Walden Rd,519,15
